KOD10;NEV
A0000;Cholera (Vibrio cholerae 01, cholera biovariáns okozta)
A0010;Cholera (Vibrio cholerae 01, El Tor biovariáns okozta)
A0090;Cholera k.m.n.
A0100;Hastyphus
A0110;"Paratyphus ""A"""
A0120;"Paratyphus ""B"""
A0130;"Paratyphus ""C"""
A0140;Paratyphus k.m.n.
A0200;Salmonella bélhurut
A0210;Salmonella sepsis
A0220;Salmonella helyi fertõzések
A0280;Egyéb meghatározott salmonella fertõzések
A0290;Salmonella fertõzés k.m.n.
A0300;Shigellosis, Shigella dysenteriae okozta
A0310;Shigellosis Shigella flexneri miatt
A0320;Shigellosis, Shigella boydii miatt
A0330;Shigellosis, Shigella sonnei miatt
A0380;Egyéb shigellosis
A0390;Shigellosis k.m.n.
A0400;Enteropathogen Escherichia coli fertõzés
A0410;Enterotoxikus Escherichia coli fertõzés
A0420;Enteroinvasiv Escherichia coli fertõzés
A0430;Enterohaemorrhagiás Escherichia coli fertõzés
A0440;Escherichia coli enteritis, k.m.n.
A0450;Campylobacter okozta bélhurut
A0460;Yersinia enterocolitica okozta bélhurut
A0470;Clostridium difficile okozta vékony- és vastagbélgyulladás
A0480;Egyéb meghatározott baktériumok által okozott bélfertõzések
A0490;Baktériumok által okozott bélfertõzés k.m.n.
A0500;Staphylococcus által okozott ételmérgezés
A0510;Botulizmus
A0520;Clostridium perfringens [Clostridium welchii] okozta ételmérgezés
A0530;Vibrio parahaemolyticus ételmérgezés
A0540;Bacillus cereus ételmérgezés
A0580;Egyéb meghatározott baktériumok által okozott ételmérgezések
A0590;Bakteriális ételmérgezés, k.m.n.
A0600;Heveny amoebás dysenteria
A0610;Idült bél amoebiasis
A0620;Amoebás vastagbélgyulladás, nem vérhassal járó
A0630;Bél amoeboma
A0640;Amoebás májtályog
A0650;Amoebás tüdõtályog (J99.8*)
A0660;Amoebás agytályog (G07*)
A0670;Bõr amoebiasis
A0680;Egyéb lokalizációjú amoebás fertõzés
A0690;Amoebiasis k.m.n.
A0700;Balantidiasis
A0710;Giardiasis [lambliasis]
A0720;Cryptosporidiosis
A0730;Isosporosis
A0780;Egyéb meghatározott protozoon bélbetegségek
A0790;Protozoon bélbetegség k.m.n.
A0800;Rotavirus bélhurut
A0810;Norwalk-ágens által okozott heveny gyomor-bélbetegség
A0820;Adenovirus okozta bélhurut
A0830;Egyéb vírusos bélhurut
A0840;Vírusos bélfertõzés k.m.n.
A0850;Egyéb meghatározott bélfertõzések
A09H0;Feltételezetten fertõzõ eredetû hasmenés és gyomor-bélhurut
A1500;Tüdõgümõkór, a köpet mikroszkópos vizsgálatával, tenyésztéssel vagy anélkül igazolt
A1501;Tüdõgümõkór, mikroszkópos pozitiv, caverna nincs, egyoldali
A1502;Tüdõgümõkór, mikroszkópos pozitiv, caverna nincs, kétoldali
A1503;Tüdõgümõkór, mikroszkópos pozitiv, cavarnás, egyoldali
A1504;Tüdõgümõkór, mikroszkópos pozitiv, cavarnás, kétoldali
A1505;Tüdõgümõkór, mikroszkópos pozitiv, recidiva, caverna nincs
A1506;Tüdõgümõkór, mikroszkópos pozitiv, recidiva, cavernával
A150A;Tüdõgümõkór, köpet mikr. vizsg. teny.-el, vagy anélk. ig. polirezist.
A1510;Tüdõgümõkór, csak tenyésztéssel igazolt
A1511;Tüdõgümõkór, csak tenyésztéssel pozitiv, caverna nincs, egyoldali
A1512;Tüdõgümõkór, csak tenyésztéssel pozitiv, caverna nincs, kétoldali
A1513;Tüdõgümõkór, csak tenyésztéssel pozitiv, cavernás, egyoldali
A1514;Tüdõgümõkór, csak tenyésztéssel pozitiv, cavernás, kétoldali
A1515;Tüdõgümõkór, csak tenyésztéssel pozitiv, recidiva, egyoldali
A1516;Tüdõgümõkór, csak tenyésztéssel pozitiv, recidiva, kétoldali
A151A;Tüdõgümõkór, csak tenyésztéssel igazolt - polirezisztens kórokozóval
A1520;Tüdõgümõkór, szövettani vizsgálattal kimutatott
A1521;Tüdõgümõkór, szövettani vizsg.-al igazolt, caverna nincs, egyoldali
A1522;Tüdõgümõkór, szövettani vizsg.-al igazolt, caverna nincs, kétoldali
A1523;Tüdõgümõkór, szövettani vizsg.-al igazolt, cavernás, egyoldali
A1524;Tüdõgümõkór, szövettani vizsg.-al igazolt, cavernás, kétoldali
A1525;Tüdõgümõkór, szövettani vizsg.-al igazolt, recidiva, egyoldali
A1526;Tüdõgümõkór, szövettani vizsg.-al igazolt, recidiva, kétoldali
A1530;Tüdõgümõkór, k.m.n. módon igazolt
A1531;Tüdõgümõkór. k.m.n. módon igazolt, caverna nincs, egyoldali
A1532;Tüdõgümõkór. k.m.n. módon igazolt, caverna nincs, kétoldali
A1533;Tüdõgümõkór. k.m.n. módon igazolt, cavernával, egyoldali
A1534;Tüdõgümõkór. k.m.n. módon igazolt, cavernával kétoldali
A1535;Tüdõgümõkór. k.m.n. módon igazolt, recidiva, egyoldali
A1536;Tüdõgümõkór. k.m.n. módon igazolt, recidiva, kétoldali
A1540;Mellkasi nyirokcsomó gümõkór, bakter. és szövettannal igazolt
A1541;Hilusi nyirokcsomó gümõkór, bakt. és/vagy szövett. vizsg. igazolt
A1542;Mediastinalis nyirokcsomó gümõkór, bakt. és/vagy szöv.vizsg. igazolt
A1543;Tracheobronchiális nyirokcsomó gümõkór, bakt. és/vagy szöv.vizsg.igaz
A1550;Gége, légcsõ, hörgõ gümõkór, bakter. és szövettannal igazolt
A1551;Gége gümõkór, bakt. és/vagy szövett. vizsg. igazolt
A1552;Hangszalag gümõkór, bakt. és/vagy szövett. vizsg. igazolt
A1553;Trachea gümõkór, bakt. és/vagy szövett. vizsg. igazolt
A1554;Bronchus gümõkór, bakt. és/vagy szövett. vizsg. igazolt
A155A;A gége,légcsõ és hörgõk gümókórja,bakt. és szöv. vizsg. ig. polirezist
A1560;Gümõkóros mellhártyagyulladás, bakter. és szövettannal igazolt
A1561;Pleuritis - gümõkóros, bakt. és/vagy szövett. vizsg. igazolt
A1562;Empyema - gümõkóros, bakt. és/vagy szövett. vizsg. igazolt
A156A;Gümõkóros mellhártyagyull., bakt. és szöv. vizsg.-tal ig. polirezist.
A1570;Elsõdleges légzõszervi gümõkór, bakter. és szövettannal igazolt
A1571;Tüdõ primaer complexus, bakt. és/vagy szövett. vizsg. igazolt
A1572;Nyirokcsomó gümõkór (elsõdleges), bakt. és/vagy szöv.vizsg. igazolt
A1573;Pleuritis - gümõkóros (elsõdleges), bakt. és/vagy szöv.vizsg. igazolt
A1574;Empyema - gümõkóros (elsõdleges), bakt. és/vagy szöv. vizsg. igazolt
A1580;Egyéb légzõszervi gümõkór, bakter. és szövettannal igazolt
A1581;Mediastinalis gümõkór, bakt. és/vagy szövett. vizsg. igazolt
A1582;Orrgarati gümõkór, bakt. és/vagy szövett. vizsg. igazolt
A1583;Orrmelléküregi gümõkór, bakt. és/vagy szövett. vizsg. igazolt
A1590;K.m.n. légzõszervi gümõkór, bakter. és szövettannal igazolt
A1600;Tüdõgümõkór, negatív bakter. és szövettani vizsgálati eredménnyel
A1601;Tüdõgümõkór, neg. bakt. és szövettani eredm. caverna nélk., egyoldali
A1602;Tüdõgümõkór, neg. bakt. és szövettani eredm. caverna nélk., kétoldali
A1603;Tüdõgümõkór, neg. bakt. és szövettani eredm. cavernával, egyoldali
A1604;Tüdõgümõkór, neg. bakt. és szövettani eredm. cavernával, kétoldali
A1605;Tüdõgümõkór, neg. bakt. és szövettani eredm. recidiva, egyoldali
A1606;Tüdõgümõkór, neg. bakt. és szövettani eredm. recidiva, kétoldali
A1610;Tüdõgümõkór, bakteriológiai és szövettani vizsgálat nélkül
A1611;Tüdõgümõkór, bakt.és szövettani vizsg. nélk. caverna nélk., egyoldali
A1612;Tüdõgümõkór, bakt.és szövettani vizsg. nélk. caverna nélk., kétoldali
A1613;Tüdõgümõkór, bakt.és szövettani vizsg. nélk. cavernával, egyoldali
A1614;Tüdõgümõkór, bakt.és szövettani vizsg. nélk. cavernával, kétoldali
A1615;Tüdõgümõkór, bakt.és szövettani vizsg. nélk. recidiva, egyoldali
A1616;Tüdõgümõkór, bakt.és szövettani vizsg. nélk. recidiva, kétoldali
A1620;Tüdõgümõkór, bakteriológiai vagy szövettani vizsgálat említése nélkül
A1621;Tüdõgümõkór, bakt.és/vagy szövet.vizsg.eml.nélk.caverna nélk., egyold
A1622;Tüdõgümõkór, bakt.és/vagy szövet.vizsg.eml.nélk.caverna nélk., kétold
A1623;Tüdõgümõkór, bakt.és/vagy szövet.vizsg.eml.nélk. cavernával, egyold
A1624;Tüdõgümõkór, bakt.és/vagy szövet.vizsg.eml.nélk. cavernával kétoldali
A1625;Tüdõgümõkór, bakt.és/vagy szövet.vizsg.eml.nélk. recidiva, egyoldali
A1626;Tüdõgümõkór, bakt.és/vagy szövet.vizsg.eml.nélk. recidiva, kétoldali
A1630;Mellkasi nyirokcsomó gümõkór, bakter. vagy szövettan említése nélkül
A1631;Hilusi nyirokcsomó gükõkór, bakt. vagy szöv.vizsgálat emlitése nélkül
A1632;Mediastinalis nyirokcsomó gümõkór, bakt. vagy szöv.vizsg. eml. nélkül
A1633;Tracheobronchialis nyirokcsomó gümõkór, bakt. v. szöv.vizsg.eml.nélkül
A1640;Gége, légcsõ és hörgõ gümõkór, bakter. vagy szövettan említése nélkül
A1641;Gége gümõkór, bakt. vagy szövettani vizsg. emlitése nélkül
A1642;Hangszalag gümõkór, bakt. vagy szövettani vizsg. emlitése nélkül
A1643;Trachea gümõkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1644;Bronchus gümõkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1650;Gümõkóros mellhártyagyulladás, bakter. vagy szövettan említése nélkül
A1651;Pleuritis - gümõkóros, bakt. vagy szövett. vizsg. emlitése nélkül
A1652;Empyema - gümõkóros, bakt. vagy szövett. vizsg. emlitése nélkül
A1670;Primaer légzõszervi gümõkór, bakter. vagy szövettan említése nélkül
A1671;Tüdõ primer-comlexus, bakt. vagy szövett. vizsg. emlitése nélkül
A1672;Mellkasi nyirokcsomó primer gümõkór bakt. vagy szöv.vizsg. eml.nélkül
A1673;Elsõdleges, gümõkóros pleuritis, bakt. vagy szöv.vizsgálat emlitése
A1674;Elsõdleges, gümõkóros empyema, bakt. vagy szöv.vizsg. emlitése nélkül
A1680;Egyéb légzõszervi gümõkor, bakter. vagy szövettan említése nélkül
A1681;Mediastinalis gümõkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1682;Orrgarati gümõkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1683;Orrmelléküregi gümõkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1690;Légzõszervi gümõkór k.m.n., bakter. vagy szövettan említése nélkül
A1700;Gümõkóros agyhártyagyulladás (G01*)
A1710;Az agyhártyák tuberculomája (G07*)
A1780;Az idegrendszer egyéb gümõkórja
A1781;Agyvelõ gümõkór (Meningoencephalitis tub.)
A1782;Agyvelõ tuberculoma
A1783;Gerincvelõ gümõkór
A1784;Polyneuropathia, gümõkóros
A1790;Az idegrendszer gümõkórja k.m.n. (99.8*)
A1800;A csontok és izületek gümõkórja
A1801;Csigolya gümõkór (spondylitis tuberculosa)
A1802;Csípõ gümõkór (coxitis)
A1803;Térd gümõkór (gonitis)
A1804;Borda gümõkór (caries costae)
A1805;Lábtõ csontok gümõkórja
A1806;Könyök, kéztõ izület gümõkórja
A1807;Csecsnyúlvány gümõkór
A1808;Csont, csontvelõ gümõkór - egyéb helyen
A1809;Izületek, inak savós burkai gümõkórja
A1810;A húgy-ivarszervek gümõkórja
A1811;Vesekéreg gümõkór
A1812;Vese ulcerocavernosus gümõkór
A1813;Vese massziv tuberculosisos degeneratio
A1814;Ureter gümõkór
A1815;Húgyhólyag gümõkór
A1816;Urethra gümõkór
A1817;Méhtest, adnexum, vulva gümõkór
A1818;Prostata (vesicula seminalis) gümõkór
A1819;Here, mellékhere, ondóvezeték gümõkór
A1820;Gümõkóros perifériás nyirokcsomó betegség
A1821;Nyaki nyirokcsomó gümõkór
A1828;Periferiás nyirokcsomó (egyéb regio) gümõkór
A1830;A bél, a hashártya és a bélfodri mirigyek gümõkórja
A1831;Ileocoecum gümõkór
A1832;Ileum gümõkór
A1833;Anus ( végbél ) gümõkór
A1834;Peritonitis tuberculosa
A1835;Mesenterialis nyirokcsomó gümõkór
A1836;Retroperitonealis nyirokcsomó gümõkór
A1837;Ilecoecum primaer gümõkór
A1838;Ileum primaer gümõkór
A1840;A bõr és a bõralatti szövet gümõkórja
A1841;Cutis primer complexus (gümõs)
A1842;Tuberculosis ulcerosa cutis et mucosae
A1843;Tuberculosis cutis luposa
A1844;Tuberculosis cutis verrucosa
A1845;Tuberculosis cutis colliquativa
A1846;Tuberculosis indurativa Bazin
A1847;Erythema nodosum tuberculoticum
A1848;Szemhéj tuberculosis
A1850;A szem gümõkórja
A1851;Iridocyclitis tuberculosa
A1852;Chorioretinitis tuberculosa
A1853;Keratitis intersticialis tuberculosa
A1854;Keratoconjunctivitis interstic. phlyctaenularis tuberculosa
A1855;Episcleritis tuberculosa
A1860;A fül gümõkórja
A1861;Otitis media tuberculosa
A1862;Szájnyálkahártya tuberculosis
A1863;Szájnyálkahártya primaer tuberculosis
A1869;Fül gümõkór - egyéb (rész)
A1870;Mellékvesék gümõkórja (E35.1*)
A1880;Egyéb szervek gümõkórja
A1881;Nyelõcsõ gümõkór
A1882;Máj gümõkór (tuberculoma)
A1883;Lép gümõkór
A1884;Pajzsmirigy gümõkór
A1885;Emlõ gümõkór
A1886;Szívburok gümõkór
A1887;Szívizom gümõkór
A1888;Szívbelhártya gümõkór
A1900;Heveny miliaris gümõkór egy meghatározott helyen
A1901;Heveny miliaris tüdõ gümõkór
A1910;Heveny miliaris gümõkór több helyen
A1920;Heveny miliaris gümõkór k.m.n.
A1980;Egyéb miliaris gümõkór
A1990;Miliaris gümõkór k.m.n.
A199A;Miliáris gümõkór k.m.n. ..-polirezisztens kórokozóval.
A2000;Bubópestis
A2010;Cellulocutan pestis
A2020;Tüdõpestis
A2030;Pestises agyhártyagyulladás
A2070;Pestises septicaemia
A2080;Egyéb pestis kórformák
A2090;Pestis k.m.n.
A2100;Tularaemia ulceroglandularis
A2110;Tularaemia oculoglandularis
A2120;Tüdõ tularaemia
A2130;A gyomor-bélrendszer tularaemiája
A2170;Generalizált tularaemia
A2180;Tularaemia egyéb formái
A2190;Tularaemia k.m.n.
A2200;Bõr anthrax
A2210;Tüdõ anthrax
A2220;Gyomor-bél anthrax
A2270;Anthrax septicaemia
A2280;Az anthrax egyéb formái
A2290;Lépfene k.m.n.
A2300;Brucella melitensis által okozott brucellosis
A2310;Brucella abortus által okozott brucellosis
A2320;Brucella suis által okozott brucellosis
A2330;Brucella canis által okozott brucellosis
A2380;Egyéb brucellosis
A2390;Brucellosis k.m.n.
A2400;Takonykór
A2410;Heveny és fulmináns lefolyású melioidosis
A2420;Félheveny és idült melioidosis
A2430;Egyéb melioidosis
A2440;Melioidosis k.m.n.
A2500;Patkányharapási láz, spirillosis
A2510;Streptobacillosis
A2590;Patkányharapás láz k.m.n.
A2600;Bõr erysipeloid
A2670;Erysipelothrix septicaemia
A2680;Az erysipeloid egyéb formái
A2690;Erysipeloid k.m.n.
A2700;Leptospirosis icterohaemorrhagica [Weil-betegség]
A2780;Leptospirosis egyéb formái
A2790;Leptospirosis k.m.n.
A2800;Pasteurellosis
A2810;Macskakarmolás betegség
A2820;Extraintestinalis yersiniosis
A2880;Egyéb, m.n.o., állatok terjesztette bakteriális betegségek
A2890;Baktériumok által okozott, állatok terjesztette betegség k.m.n.
A3000;Lepra [Hansen-betegség] k.m.n.
A3010;Tuberculoid lepra
A3020;Határesetû tuberculoid lepra
A3030;Határesetû lepra
A3040;Határesetû lepromatosus lepra
A3050;Lepromatosus lepra
A3080;Lepra egyéb formái
A3090;Lepra k.m.n.
A3100;Tüdõ mycobacterium fertõzés
A3110;Bõr mycobacterium fertõzés
A3180;Egyéb mycobacterium által okozott fertõzések
A3190;Mycobacterium fertõzés k.m.n.
A3200;Bõr listeriosis
A3210;Listeria meningitis és meningoencephalitis
A3270;Listeria septicaemia
A3280;Listeriosis egyéb formái
A3290;Listeriosis k.m.n.
A33H0;Tetanus neonatorum
A34H0;Szülészeti tetanus
A35H0;Egyéb tetanus
A3600;Torokdiphtheria
A3610;Orrgarat diphtheria
A3620;Gége diphtheria
A3630;Bõr diphtheria
A3680;Egyéb diphtheria
A3690;Diphtheria k.m.n.
A3700;Szamárköhögés, Bordetella pertussis miatt
A3710;Szamárköhögés, Bordetella parapertussis miatt
A3780;Szamárköhögés, egyéb Bordetella fajok miatt
A3790;Szamárköhögés k.m.n.
A38H0;Vörheny
A3900;Meningococcus okozta agyhártyagyulladás (G01*)
A3910;Waterhouse-Friderichsen syndroma (E35.1*)
A3920;Heveny meningicoccaemia
A3930;Idült meningococcaemia
A3940;Meningococcaemia k.m.n.
A3950;A szív meningococcusos betegsége
A3980;Egyéb meningococcus okozta fertõzések
A3990;Meningococcus okozta fertõzés k.m.n.
A4000;Septicaemia, A csoportú streptococcus miatt
A4010;Septicaemia, B csoportú streptococcus miatt
A4020;Septicaemia, D csoportú streptococcus miatt
A4030;Septicaemia Streptococcus pneumoniae miatt
A4080;Egyéb streptococcus okozta septicaemia
A4090;Septicaemia, streptococcus miatt k.m.n.
A4100;Staphylococcus aureus okozta septicaemia
A4110;Egyéb azonosított staphylococcus okozta septicaemia
A4120;Nem azonosított staphylococcus okozta septicaemia
A4130;Haemophilus influenzae okozta septicaemia
A4140;Anaerob kórokozók okozta septicaemia
A4150;Septicaemia egyéb Gram-negatív kórokozók miatt
A4180;Septicaemia, egyéb meghatározott kórokozóval
A4190;Septicaemia, k.m.n.
A4200;Tüdõ actinomycosis
A4210;Hasi actinomycosis
A4220;Nyaki-arci actinomycosis
A4270;Actinomyces septicaemia
A4280;Sugárgomba fertõzés egyéb formái
A4290;Sugárgomba fertõzés k.m.n.
A4300;Tüdõ nocardiosis
A4310;Bõr nocardiosis
A4380;Nocardiosis egyéb formái
A4390;Nocardiosis k.m.n.
A4400;Szisztémás bartonellosis
A4410;A bõr, ill. a bõr és nyálkahártya bartonellosisa
A4480;Bartonellosis egyéb formái
A4490;Bartonellosis k.m.n.
A46H0;Orbánc (erysipelas)
A4800;Gázgangraena
A4810;Legionárius betegség
A4820;Nem pneumoniás legionárius betegség [Pontiac-láz]
A4830;Toxikus shock syndroma
A4840;Brazil purpurás láz
A4880;Egyéb baktériumok okozta betegségek m.n.o.
A4900;Staphylococcus fertõzés k.m.n.
A4910;Streptococcus fertõzés k.m.n.
A4920;Haemophilus influenzae fertõzés k.m.n.
A4930;Mycoplasma fertõzés k.m.n.
A4980;Egyéb bakteriális fertõzések k.m.n. lokalizációban
A4990;Baktérium fertõzések k.m.n.
A5000;Friss, veleszületett syphilis, tünetekkel
A5010;Korai, veleszületett syphilis, latens
A5020;Korai veleszületett syphilis, k.m.n.
A5030;Késõi veleszületett syphilises szembetegség
A5040;Késõi veleszületett neurosyphilis [juvenilis neurosyphilis]
A5050;Egyéb késõi veleszületett syphilis, tünetekkel
A5060;Késõi veleszületett syphilis, latens
A5070;Késõi veleszületett vérbaj, k.m.n.
A5090;Veleszületett vérbaj, k.m.n.
A5100;Az ivarszervek elsõdleges syphilise
A5110;A végbél elsõdleges syphilise
A5120;Elsõdleges syphilis, egyéb lokalizációban
A5130;A bõr és a nyálkahártya másodlagos syphilise
A5140;Egyéb másodlagos syphilis
A5150;Friss vérbaj, latens
A5190;Friss vérbaj k.m.n.
A5200;Szív- és érrendszeri syphilis
A5210;Symptomás neurosyphilis
A5220;Aszimptomatikus neurosyphilis
A5230;Neurosyphilis k.m.n.
A5270;Egyéb késõi vérbaj
A5280;Késõi latens vérbaj
A5290;Késõi vérbaj, k.m.n.
A5300;Vérbaj k.m.n. friss vagy késõi
A5390;Vérbaj k.m.n.
A5400;A húgyivarrendszer alsó szakaszának kankós fertõzése, tályog nélkül
A5410;A húgyivarrendszer alsó szakaszának kankós fertõzése, tályoggal
A5420;Kankós pelveoperitonotis és a húgyivarrendszer egyéb kankós fertõzései
A5430;A szem kankós fertõzése
A5440;A csont-izomrendszer kankós fertõzése
A5450;Kankós torokgyulladás
A5460;A végbélnyílás és a végbél kankós fertõzése
A5480;Egyéb kankós fertõzések
A5490;Kankós fertõzés k.m.n.
A55H0;Chlamydia lymphogranuloma (venereum)
A5600;A húgyivarrendszer alsó szakaszának chlamydia fertõzése
A5610;Medencei hashártya és egyéb húgyivarrendszeri chlamydia fertõzés
A5620;A húgyivarrendszer chlamydiás fertõzése k.m.n.
A5630;A végbél és a végbélnyílás chlamydiás fertõzése
A5640;A garat chlamydiás fertõzése
A5680;Egyéb lokalizációjú, szexuális úton terjedõ chlamydia fertõzés
A57H0;Lágyfekély
A58H0;Granuloma inguinale
A5900;A húgyivarrendszer trichomoniasisa
A5980;Egyéb lokalizációjú trichomoniasis
A5990;Trichomoniasis k.m.n.
A6000;A nemi és a húgyivari szervek herpesvirus fertõzése
A6010;A végbélnyílás körüli bõr és a végbél herpesvirus fertõzése
A6090;Anogenitális herpesvirus fertõzés k.m.n.
A6300;Anogenitális (venerás) csomók
A6380;Egyéb meghatározott, fõként szexuális úton terjedõ betegségek
A64H0;Szexuális úton terjedõ, nem meghatározott betegségek
A65H0;Nem venereás syphilis
A6600;Korai framboesiás elváltozások
A6610;"Multiplex papilloma és ""wet crab"" framboesia"
A6620;Egyéb korai framboesiás bõrlaesiók
A6630;Framboesiás hyperkeratosis
A6640;Framboesiás gummák és fekélyek
A6650;Gangosa
A6660;Csont és izületi framboesiás laesiók
A6670;Egyéb framboesiás manifesztatiok
A6680;Latens framboesia
A6690;Framboesia k.m.n.
A6700;Elsõdleges laesiók pintában
A6710;Közbülsõ laesiók pintában
A6720;Késõi laesiók pintában
A6730;Vegyes laesiók pintában
A6790;Pinta k.m.n.
A6800;Tetû által terjesztett visszatérõ láz
A6810;Kullancs által terjesztett visszatérõ láz
A6890;Visszatérõ láz k.m.n.
A6900;Nekrotizáló fekélyes stomatitis
A6910;Egyéb Vincent-típusú fertõzés
A6920;Lyme-kór
A6980;Egyéb meghatározott spirochaeta fertõzés
A6990;Spirochaeta fertõzés, k.m.n.
A70H0;Chlamydia psittaci fertõzés
A7100;Trachoma kezdeti szakasza
A7110;Trachoma aktív szakasza
A7190;Trachoma, k.m.n.
A7400;Chlamydiás kötõhártya-gyulladás (H13.1*)
A7480;Egyéb chlamydia okozta betegségek
A7490;Chlamydia fertõzés, k.m.n.
A7500;Rickettsia prowazeki okozta, tetû által terjesztett kiütéses typhus
A7510;Kiújuló (visszatérõ) kiütéses typhus [Brill-kór]
A7520;Rickettsia typhi fertõzés
A7530;Rickettsia tsutsugamusi okozta kiütéses typhus
A7590;Kiütéses typhus k.m.n.
A7700;Foltos láz Rickettsia rickettsi miatt
A7710;Foltos láz Rickettsia conorii miatt
